press_date_at,pressing_time,die_number,production_number,specific_weight,production_length,production_weight,discard_thickness,discard_weight,pressing_type,plan_billet_quantities,actual_billet_quantities,billet_length,billet_size,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351,code_401,machine,mfg
2026-03-24,1.45,CG25R3-V01D,C3G25K02-AG002,1.885,3,5.655,25,2.98,●,18,18,600,9,179,0,179,2026-03-26,2026-03-25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-24,0.37,CJ16C-V01D,C2J16L-AH081-30K,0.79164,3,2.375,25,2.98,〇,14,4,600,9,86,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-24,1.58,MSQ50B2-V04D,P6260401-D,6.76,2.03,13.723,25,2.98,◎,18,18,1200,9,125,31,94,,2026-03-25,,,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-24,1.50,MGPM32B2-V02D,MGP32A-AC895-30K,8.15,3,24.45,25,2.98,●,15,15,1200,12,119,0,119,2026-03-26,2026-03-26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-24,1.07,MXS25TB-V02D,P3800602-M-2,4.22,2,8.44,25,2.98,●,14,14,1200,9,181,0,181,2026-03-26,2026-03-26,,2026-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-24,0.20,VV13M1-V01D,DXT192-11-44,1.4,2,2.8,25,2.98,●,2,2,600,9,39,0,39,2026-03-26,2026-03-26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-24,1.37,CQ63T3-V04C-ZZZ,C2Q63A-AD141A30K,4.98231,3,14.947,35,4.17,●,10,10,1200,12,139,0,139,2026-03-26,2026-03-26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-24,1.38,VV13M1-V01D-ZZZ,DXT192-11-44-30,1.4,3,4.2,25,2.98,●,28,24,600,9,312,0,312,2026-03-26,2026-03-26,,2026-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN
2026-03-23,1.25,CQ50G-V01D,C2Q50G-F2256-30K,5.84199,3,17.526,25,2.98,●,14,14,1200,9,82,7,75,2026-03-24,2026-03-25,,2026-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,Dubai
2026-03-23,1.67,CQ32G-V01C,C2Q32G-P1284-30K,2.524,3,7.572,55,6.55,●,18,18,1200,9,252,15,237,2026-03-24,2026-03-24,,2026-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,1,Dubai
2026-03-23,0.25,CP9650T4-V02D,C9650ABAZ035-30K,3.304,3,9.912,25,2.98,〇,1,1,600,9,1,1,0,2026-03-25,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-23,0.22,CXS32S3-V02D,CXS32A-BA025-20K,4.467,2,8.934,25,2.98,〇,1,1,1200,9,1,1,0,2026-03-25,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-23,1.92,CG32R3-V01D,C3G32K02-AG003,2.824,3,8.472,25,2.98,●,14,14,1200,9,195,6,189,2026-03-25,2026-03-25,,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,Dubai
2026-03-23,0.95,CQ25T3-V03B-ZZZ,C2Q25A-AD137A30K,2.15838,3,6.475,25,2.98,●,7,7,1030,9,105,5,100,2026-03-25,2026-03-25,,2026-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,VN
2026-03-23,0.75,MGPM20B2-V02D,MGP20A-AC893-30K,5.03,3,15.09,50,5.95,●,10,9,1200,9,62,1,61,2026-03-26,2026-03-25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,VN
2026-03-23,2.58,CQ63T3-V03C-ZZZ,C2Q63A-AD141A30K,4.98231,3,14.947,35,4.17,●,20,20,1200,12,279,0,279,2026-03-26,2026-03-26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-23,1.67,MSQ30B2-V01S,P6260301-D,5.19,2.07,10.743,35,4.17,●,18,20,1200,9,199,14,185,2026-03-26,2026-03-25,,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,Dubai
2026-03-23,1.33,MXH06T0-V01D,MXH06-27-E7098-K,1,2,2,25,2.98,◎,7,7,600,9,180,0,180,,2026-03-25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-23,0.27,CP9680T4-V02D,C9680ABAZ037-30K,6.224,3,18.672,35,4.17,〇,1,1,600,12,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-20,1.22,CG63R3-V01D,C3G63K02-AG006,10.388,3,31.164,25,2.98,●,18,18,1200,9,53,7,46,2026-03-24,2026-03-24,,2026-03-26,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Dubai
2026-03-20,0.45,CQS16T2-V01D,CQS16-04-F6465-K,1.31652,2,2.633,25,2.98,●,3,3,600,9,61,1,60,2026-03-24,2026-03-24,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Dubai
2026-03-20,0.28,CYV32K-V01D-ZZZ-DUN,CYV32C-R5503A30K,6.1417,3,18.425,50,5.95,〇,1,1,1200,9,1,1,0,2026-03-25,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-20,0.32,CYR25SR-V01D,CYR25E-AX664-30K,0.69,3,2.07,25,2.98,〇,1,1,600,9,1,1,0,2026-03-25,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-20,1.43,CM32AS-V02D,C2M032K03-68716B,2.822,3,8.466,40,4.76,●,22,22,1200,9,286,5,281,2026-03-24,2026-03-24,,2026-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,VN
2026-03-20,1.45,MSQ10B2-V05D,P6260101-D,3.26,2.045,6.667,25,2.98,●,14,14,1200,9,236,64,172,2026-03-24,2026-03-25,,2026-03-26,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Dubai
2026-03-20,0.95,CM40AS-V01D,C2M040K03-68717B,4.311,3,12.933,40,4.76,●,15,15,1200,9,120,0,120,2026-03-24,2026-03-24,,2026-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN
2026-03-20,0.92,CA32T-V03C,S370A63T38X32X30,0.877,3,2.631,35,4.17,●,7,7,440,9,102,0,102,2026-03-24,2026-03-24,,2026-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-20,2.27,VV14M1-V02D-ZZZ,DXT199-20-23-30,2.58,3,7.74,50,5.95,●,21,18,1200,9,269,6,263,2026-03-24,2026-03-24,,2026-03-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,VN
2026-03-20,1.17,CYR25E-V01E,CYR25J-AX664-20K,5.045,2,10.09,45,5.36,●,8,8,1200,12,159,6,153,2026-03-26,2026-03-25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,Dubai
2026-03-20,0.67,CXS20S2-V01E,CXS20A-AS989-20K,2.4,2,4.8,25,2.98,●,6,6,600,9,65,0,65,2026-03-24,2026-03-24,,2026-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-20,0.50,CXS15S3-V01D,CXS15A-BA022-20K,1.612,2,3.224,25,2.98,●,5,3,600,9,49,1,48,2026-03-24,2026-03-24,,2026-03-26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-20,0.37,XLA16B2-V02B,XLA16-1B-S,4.85,2,9.7,35,4.17,〇,2,2,1200,9,1,1,0,2026-03-26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-20,0.22,XLA25B2-V04B,XLA25-1B-S,7.28,2,14.56,35,4.17,〇,2,2,1200,9,1,1,0,2026-03-26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-20,0.28,CQ63T3-V03C-ZZZ,C2Q63A-AD141A30K,4.98231,3,14.947,35,4.17,◎,1,1,1200,12,13,13,0,2026-03-26,2026-03-25,,,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-19,1.75,CG40R-V01D,CG-040K02-35903A,4.226,2,8.452,25,2.98,●,18,18,1200,9,233,21,212,2026-03-20,2026-03-19,,2026-03-23,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,1,Dubai
2026-03-19,0.75,CYV32K-V02D-ZZZ-DUN,CYV32C-R5503A30K,6.1417,3,18.425,,,◎,6,4,1200,9,23,2,21,2026-03-25,2026-03-24,,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Dubai
2026-03-19,2.67,MHZ16B2-V01E,P4811251-MH1,1.1,2,2.2,25,2.98,●,15,15,600,9,357,3,354,2026-03-23,2026-03-24,,2026-03-25,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,Dubai
2026-03-19,1.65,CG25H2-V01D,C1G25K02-AM406,2.142,3,6.426,25,2.98,●,21,21,600,9,167,8,159,2026-03-23,2026-03-19,,2026-03-24,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-19,1.52,CM40AH-V01D,C2M040K02-68717B,3.93,3,11.79,35,4.17,●,20,20,1200,9,179,5,174,2026-03-23,2026-03-24,,2026-03-25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,VN
2026-03-19,1.23,MSQ50B2-V04D,P6260401-D,6.76,2.03,13.723,25,2.98,◎,14,14,1200,9,97,23,74,2026-03-23,2026-03-24,,2026-03-24,0,0,0,1,0,0,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-19,0.32,MSQ50B5-V02D,P8910402-D,6.7,2.05,13.735,35,4.17,〇,1,1,1200,12,1,1,0,2026-03-23,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-19,0.38,CQ63T3-V01C-ZZZ,C2Q63A-AD141A30K,4.98231,3,14.947,35,4.17,◎,2,2,1200,12,25,25,0,2026-03-24,2026-03-23,,,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-19,1.72,CQ63T3-V04C-ZZZ,C2Q63A-AD141A30K,4.98231,3,14.947,35,4.17,●,13,13,1200,12,169,1,168,2026-03-25,2026-03-24,,2026-03-26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-19,0.70,CQ25T3-V02B-ZZZ,C2Q25A-AD137A30K,2.15838,3,6.475,25,2.98,●,0,7,1030,9,55,0,55,2026-03-23,2026-03-24,,2026-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN
2026-03-19,0.68,MXS16B-V03D,P3800401B-M,2.6,2,5.2,55,6.55,◎,6,6,1200,9,131,46,85,2026-03-24,2026-03-24,,2026-03-25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-19,0.73,XLS25B-V01B,XLS25-1-1B,7.8111,2,15.622,50,5.95,◎,3,3,1200,9,20,5,15,2026-03-24,2026-03-24,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-19,0.50,CYR50B-V01D,CYR50K-AX667-20K,7.207,2,14.414,35,4.17,●,4,4,1200,12,55,0,55,2026-03-25,2026-03-25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-18,0.33,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,35,4.17,〇,2,2,1200,9,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-18,1.42,CP9640T-V03B,C9640ABAC959-30K,1.3959,3,4.188,25,2.98,●,10,10,680,9,149,5,144,2026-03-19,2026-03-19,,2026-03-26,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,VN
2026-03-18,2.18,PS63-V03D,S500A61T63X14X20,8.046,2,16.092,35,4.17,◎,22,22,1200,9,110,17,93,2026-03-19,2026-03-19,,2026-03-20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,VN
2026-03-18,0.78,CA25T-V02C,S370A63T31X25X30,0.70189,3,2.106,30,3.57,●,10,10,355,9,149,51,98,2026-03-19,2026-03-19,,2026-03-25,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-18,1.02,VV13M1-V01D-ZZZ,DXT192-11-44-30,1.4,3,4.2,25,2.98,●,21,12,675,9,170,1,169,2026-03-23,2026-03-19,,2026-03-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-18,0.98,CYR10AR-V01D,CYR10L-AX661-20K,0.576,2,1.152,25,2.98,●,5,5,600,9,216,5,211,2026-03-20,2026-03-19,,2026-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,Dubai
2026-03-18,1.17,CQ50G-V01C,C2Q50G-F2256-30K,5.84199,3,17.526,35,4.17,●,16,16,1200,9,95,7,88,2026-03-20,2026-03-19,,2026-03-20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,Dubai
2026-03-18,1.38,MSQ30B2-V01S,P6260301-D,5.19,2.07,10.743,35,4.17,●,14,14,1200,9,135,6,129,2026-03-20,2026-03-19,,2026-03-23,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-18,2.92,CQ63T3-V03C-ZZZ,C2Q63A-AD141A30K,4.98231,3,14.947,35,4.17,●,18,18,1200,12,234,0,234,2026-03-23,2026-03-23,,2026-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-18,0.65,MXH06T0-V01D,MXH06-27-E7098-K,1,2,2,25,2.98,〇,7,2,600,9,1,1,0,2026-03-20,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-18,0.80,XLS25B-V02B,XLS25-1-1B,7.8111,2,15.622,40,4.76,◎,6,6,1200,9,40,2,38,2026-03-23,2026-03-19,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-18,0.83,CXS06P-V01D,CXS06J-A5157-20K,0.2,2,0.4,35,4.17,●,6,7,600,9,780,8,772,2026-03-20,2026-03-19,,2026-03-23,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-17,1.08,CG63R3-V01D,C3G63K02-AG006,10.388,3,31.164,25,2.98,●,15,15,1200,9,44,7,37,2026-03-19,2026-03-18,,2026-03-23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,Dubai
2026-03-17,0.87,CYR50AR-V01E,CYR50L-AX667-20K,5.257,2,10.514,35,4.17,●,3,3,1200,12,58,15,43,2026-03-19,2026-03-18,,2026-03-25,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,2,Dubai
2026-03-17,1.27,CYR15AR-V01E,CYR15L-AX662-20K,0.884,2,1.768,25,2.98,◎,5,5,600,9,148,36,112,2026-03-18,2026-03-18,,2026-03-23,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-17,0.95,CQ63T3-V03C-ZZZ,C2Q63A-AD141A30K,4.98231,3,14.947,35,4.17,◎,5,5,1200,12,65,32,33,2026-03-20,2026-03-19,,2026-03-23,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,Dubai
2026-03-17,1.27,CG25R3-V01D,C3G25K02-AG002,1.885,3,5.655,25,2.98,●,16,16,600,9,159,1,158,2026-03-18,2026-03-18,,2026-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Dubai
2026-03-17,0.88,CQ63T3-V04C-ZZZ,C2Q63A-AD141A30K,4.98231,3,14.947,35,4.17,◎,5,5,1200,12,65,27,38,2026-03-20,2026-03-19,,2026-03-20,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Dubai
2026-03-17,1.08,CM40AS-V01D,C2M040K03-68717B,4.311,3,12.933,40,4.76,●,18,18,1200,9,144,7,137,2026-03-18,2026-03-18,,2026-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,VN
2026-03-17,0.55,CYB20B-V01D,CYB20K-AS378-20K,1.3,2,2.6,35,4.17,●,5,5,600,9,104,0,104,2026-03-19,2026-03-18,,2026-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dubai
2026-03-17,3.08,VV14M1-V01D-ZZZ,DXT199-20-23-30,2.58,3,7.74,50,5.95,●,25,25,1200,9,374,3,371,2026-03-19,2026-03-18,,2026-03-20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN
2026-03-17,0.28,CYV15K-V01D,CYV15C-R5502-20K,2.4,2,4.8,25,2.98,〇,1,1,1200,9,1,1,0,2026-03-20,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-17,0.18,CP9640T4-V02D,C9640ABAZ034-30K,2.459,3,7.377,25,2.98,〇,1,1,600,9,1,1,0,2026-03-20,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-17,0.78,CA25T-V03C,S370A63T31X25X30,0.70189,3,2.106,25,2.98,●,10,10,355,9,147,45,102,2026-03-19,2026-03-18,,2026-03-26,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,VN
2026-03-17,0.23,CQ32T3-V04B,C2Q32A-AD138A20K,2.30985,2,4.62,25,2.98,〇,1,1,600,9,1,1,0,2026-03-20,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-17,0.18,CQ32T3-V05B,C2Q32A-AD138A20K,2.30985,2,4.62,25,2.98,〇,1,1,600,9,1,1,0,2026-03-19,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-17,0.27,MB40TD-V01H,S409A63T45X40X30,1.196,5.6,6.698,25,2.98,〇,1,1,400,9,1,1,0,2026-03-20,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-17,0.25,MB50TD-V01H,S409A63T55X50X30,1.47846,5.6,8.279,25,2.98,〇,1,1,400,9,1,1,0,2026-03-20,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-17,0.30,CXS32S3-V02D,CXS32A-BA025-20K,4.467,2,8.934,25,2.98,〇,2,1,1200,9,1,1,0,2026-03-20,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-17,0.53,CP9640T-V03B,C9640ABAC959-30K,1.3959,3,4.188,25,2.98,●,14,4,680,9,58,2,56,2026-03-19,2026-03-19,,2026-03-24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,VN
2026-03-16,0.25,CXS10S3-V02D,CXS10A-R6001-20K,1.12,2,2.24,25,2.98,〇,1,1,600,9,1,1,0,2026-03-18,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN
2026-03-16,0.42,CXS06S3-V03D,CXS06A-R6000-20K,0.826,2,1.652,40,4.76,〇,2,2,600,9,1,1,0,2026-03-18,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VN
